individual,group,observation,value
1990,A,value4,247
1990,A,value2,3017
1990,A,value1,13443
1990,A,value3,6298
1991,B,value4,312
1991,B,value2,5501
1991,B,value1,12616
1991,B,value3,6101
1992,B,value4,336
1992,B,value2,3034
1992,B,value1,12643
1992,B,value3,6143
1993,B,value4,243
1993,B,value2,4291
1993,B,value1,13677
1993,B,value3,5918
1994,B,value4,575
1994,B,value2,5997
1994,B,value1,9836
1994,B,value3,6590
1995,B,value4,97
1995,B,value2,4543
1995,B,value1,13230
1995,B,value3,6676
1996,B,value4,220
1996,B,value2,3167
1996,B,value1,12052
1996,B,value3,6434
1997,B,value4,255
1997,B,value2,3435
1997,B,value1,10414
1997,B,value3,4920
1998,B,value4,394
1998,B,value2,4459
1998,B,value1,13032
1998,B,value3,7507
1999,B,value4,524
1999,B,value2,4775
1999,B,value1,13234
1999,B,value3,6510
2000,B,value4,339
2000,B,value2,4304
2000,B,value1,13037
2000,B,value3,6385
2001,C,value4,364
2001,C,value2,4491
2001,C,value1,12003
2001,C,value3,6690
2002,C,value4,469
2002,C,value2,5516
2002,C,value1,12783
2002,C,value3,5328
2003,C,value4,347
2003,C,value2,5261
2003,C,value1,12921
2003,C,value3,6587
2004,C,value4,528
2004,C,value2,4525
2004,C,value1,13651
2004,C,value3,6223
2005,C,value4,226
2005,C,value2,4742
2005,C,value1,12267
2005,C,value3,7891
2006,C,value4,429
2006,C,value2,4482
2006,C,value1,13255
2006,C,value3,6758
2007,C,value4,385
2007,C,value2,4377
2007,C,value1,13353
2007,C,value3,6342
2008,C,value4,317
2008,C,value2,3850
2008,C,value1,11652
2008,C,value3,7944
2009,C,value4,548
2009,C,value2,3636
2009,C,value1,13636
2009,C,value3,7843
2010,C,value4,685
2010,C,value2,3762
2010,C,value1,13151
2010,C,value3,6516
2011,D,value4,197
2011,D,value2,4023
2011,D,value1,14092
2011,D,value3,6608
2012,D,value4,127
2012,D,value2,5536
2012,D,value1,12957
2012,D,value3,6122
2013,D,value4,335
2013,D,value2,3932
2013,D,value1,12479
2013,D,value3,6412
2014,D,value4,159
2014,D,value2,4444
2014,D,value1,14766
2014,D,value3,7632
2015,D,value4,176
2015,D,value2,5929
2015,D,value1,14755
2015,D,value3,8032
2016,D,value4,335
2016,D,value2,4800
2016,D,value1,14377
2016,D,value3,7825
2017,D,value4,349
2017,D,value2,4265
2017,D,value1,14593
2017,D,value3,8123
2018,D,value4,491
2018,D,value2,6498
2018,D,value1,13477
2018,D,value3,6903
2019,D,value4,707
2019,D,value2,5003
2019,D,value1,14550
2019,D,value3,7974
2020,D,value4,566
2020,D,value2,5317
2020,D,value1,15434
2020,D,value3,7449
2021,E,value4,634
2021,E,value2,7333
2021,E,value1,14330
2021,E,value3,8071
