individual,group,observation,value
1990,A,value4,0
1990,A,value2,42
1990,A,value1,650
1990,A,value3,3
1991,B,value4,0
1991,B,value2,0
1991,B,value1,152
1991,B,value3,48
1992,B,value4,0
1992,B,value2,77
1992,B,value1,224
1992,B,value3,0
1993,B,value4,0
1993,B,value2,1
1993,B,value1,106
1993,B,value3,0
1994,B,value4,0
1994,B,value2,0
1994,B,value1,399
1994,B,value3,0
1995,B,value4,0
1995,B,value2,67
1995,B,value1,1179
1995,B,value3,0
1996,B,value4,0
1996,B,value2,6
1996,B,value1,410
1996,B,value3,0
1997,B,value4,0
1997,B,value2,9
1997,B,value1,404
1997,B,value3,11
1998,B,value4,0
1998,B,value2,15
1998,B,value1,205
1998,B,value3,2
1999,B,value4,0
1999,B,value2,8
1999,B,value1,440
1999,B,value3,103
2000,B,value4,0
2000,B,value2,13
2000,B,value1,118
2000,B,value3,21
2001,C,value4,0
2001,C,value2,18
2001,C,value1,697
2001,C,value3,0
2002,C,value4,0
2002,C,value2,4
2002,C,value1,280
2002,C,value3,0
2003,C,value4,0
2003,C,value2,50
2003,C,value1,1104
2003,C,value3,82
2004,C,value4,0
2004,C,value2,1
2004,C,value1,421
2004,C,value3,48
2005,C,value4,0
2005,C,value2,48
2005,C,value1,575
2005,C,value3,50
2006,C,value4,0
2006,C,value2,16
2006,C,value1,1046
2006,C,value3,72
2007,C,value4,0
2007,C,value2,7
2007,C,value1,58
2007,C,value3,0
2008,C,value4,0
2008,C,value2,32
2008,C,value1,162
2008,C,value3,0
2009,C,value4,0
2009,C,value2,0
2009,C,value1,267
2009,C,value3,13
2010,C,value4,0
2010,C,value2,46
2010,C,value1,359
2010,C,value3,0
2011,D,value4,0
2011,D,value2,28
2011,D,value1,147
2011,D,value3,94
2012,D,value4,0
2012,D,value2,48
2012,D,value1,241
2012,D,value3,37
2013,D,value4,0
2013,D,value2,0
2013,D,value1,562
2013,D,value3,51
2014,D,value4,0
2014,D,value2,4
2014,D,value1,258
2014,D,value3,8
2015,D,value4,0
2015,D,value2,1
2015,D,value1,233
2015,D,value3,0
2016,D,value4,0
2016,D,value2,12
2016,D,value1,384
2016,D,value3,114
2017,D,value4,0
2017,D,value2,24
2017,D,value1,446
2017,D,value3,0
2018,D,value4,0
2018,D,value2,86
2018,D,value1,1142
2018,D,value3,1
2019,D,value4,0
2019,D,value2,3
2019,D,value1,649
2019,D,value3,8
2020,D,value4,0
2020,D,value2,42
2020,D,value1,907
2020,D,value3,74
2021,E,value4,0
2021,E,value2,0
2021,E,value1,338
2021,E,value3,94
