individual,group,observation,value
1990,A,value4,0
1990,A,value2,0
1990,A,value1,38
1990,A,value3,0
1991,B,value4,0
1991,B,value2,0
1991,B,value1,8
1991,B,value3,0
1992,B,value4,0
1992,B,value2,2
1992,B,value1,6
1992,B,value3,0
1993,B,value4,0
1993,B,value2,0
1993,B,value1,4
1993,B,value3,0
1994,B,value4,0
1994,B,value2,0
1994,B,value1,0
1994,B,value3,0
1995,B,value4,0
1995,B,value2,0
1995,B,value1,452
1995,B,value3,22
1996,B,value4,0
1996,B,value2,26
1996,B,value1,948
1996,B,value3,1
1997,B,value4,0
1997,B,value2,50
1997,B,value1,1064
1997,B,value3,27
1998,B,value4,0
1998,B,value2,59
1998,B,value1,677
1998,B,value3,20
1999,B,value4,0
1999,B,value2,4
1999,B,value1,3011
1999,B,value3,212
2000,B,value4,0
2000,B,value2,60
2000,B,value1,414
2000,B,value3,65
2001,C,value4,0
2001,C,value2,48
2001,C,value1,991
2001,C,value3,7
2002,C,value4,0
2002,C,value2,16
2002,C,value1,597
2002,C,value3,14
2003,C,value4,0
2003,C,value2,106
2003,C,value1,1645
2003,C,value3,173
2004,C,value4,0
2004,C,value2,19
2004,C,value1,810
2004,C,value3,118
2005,C,value4,0
2005,C,value2,86
2005,C,value1,1126
2005,C,value3,115
2006,C,value4,0
2006,C,value2,38
2006,C,value1,1860
2006,C,value3,187
2007,C,value4,0
2007,C,value2,48
2007,C,value1,210
2007,C,value3,20
2008,C,value4,0
2008,C,value2,86
2008,C,value1,392
2008,C,value3,0
2009,C,value4,0
2009,C,value2,25
2009,C,value1,653
2009,C,value3,42
2010,C,value4,0
2010,C,value2,92
2010,C,value1,805
2010,C,value3,5
2011,D,value4,0
2011,D,value2,97
2011,D,value1,431
2011,D,value3,223
2012,D,value4,0
2012,D,value2,164
2012,D,value1,584
2012,D,value3,111
2013,D,value4,0
2013,D,value2,2
2013,D,value1,1195
2013,D,value3,104
2014,D,value4,0
2014,D,value2,31
2014,D,value1,841
2014,D,value3,40
2015,D,value4,0
2015,D,value2,14
2015,D,value1,645
2015,D,value3,0
2016,D,value4,0
2016,D,value2,48
2016,D,value1,833
2016,D,value3,243
2017,D,value4,0
2017,D,value2,109
2017,D,value1,943
2017,D,value3,1
2018,D,value4,0
2018,D,value2,238
2018,D,value1,2232
2018,D,value3,56
2019,D,value4,0
2019,D,value2,32
2019,D,value1,1302
2019,D,value3,35
2020,D,value4,0
2020,D,value2,217
2020,D,value1,1400
2020,D,value3,168
2021,E,value4,0
2021,E,value2,13
2021,E,value1,733
2021,E,value3,147
