individual,group,observation,value
1993,A,value1,3069
1994,A,value1,3209
1995,A,value1,1333
1996,A,value1,1761
1997,A,value1,2190
1998,A,value1,3821
1999,A,value1,2489
2000,A,value1,3128
2001,B,value1,3430
2002,B,value1,2579
2003,B,value1,3092
2004,B,value1,3196
2005,B,value1,3645
2006,B,value1,3089
2007,B,value1,2297
2008,B,value1,2175
2009,B,value1,3089
2010,B,value1,3773
2011,C,value1,3462
2012,C,value1,2404
2013,C,value1,3273
2014,C,value1,2524
2015,C,value1,3544
2016,C,value1,4514
2017,C,value1,5116
2018,C,value1,3693
2019,C,value1,4240
2020,C,value1,3639
2021,D,value1,2773
1993,A,value2,293
1994,A,value2,558
1995,A,value2,715
1996,A,value2,958
1997,A,value2,1140
1998,A,value2,829
1999,A,value2,555
2000,A,value2,688
2001,B,value2,749
2002,B,value2,1213
2003,B,value2,675
2004,B,value2,1222
2005,B,value2,843
2006,B,value2,1470
2007,B,value2,1010
2008,B,value2,1067
2009,B,value2,1538
2010,B,value2,508
2011,C,value2,1084
2012,C,value2,852
2013,C,value2,1516
2014,C,value2,1262
2015,C,value2,1520
2016,C,value2,1022
2017,C,value2,1049
2018,C,value2,737
2019,C,value2,1276
2020,C,value2,1320
2021,D,value2,657
1993,A,value3,524
1994,A,value3,449
1995,A,value3,551
1996,A,value3,581
1997,A,value3,766
1998,A,value3,1409
1999,A,value3,988
2000,A,value3,877
2001,B,value3,932
2002,B,value3,927
2003,B,value3,622
2004,B,value3,1060
2005,B,value3,945
2006,B,value3,1437
2007,B,value3,1147
2008,B,value3,640
2009,B,value3,814
2010,B,value3,1298
2011,C,value3,919
2012,C,value3,665
2013,C,value3,1180
2014,C,value3,1162
2015,C,value3,974
2016,C,value3,1645
2017,C,value3,958
2018,C,value3,1921
2019,C,value3,1467
2020,C,value3,935
2021,D,value3,891
1993,A,value4,5
1994,A,value4,4
1995,A,value4,243
1996,A,value4,17
1997,A,value4,29
1998,A,value4,1
1999,A,value4,11
2000,A,value4,6
2001,B,value4,12
2002,B,value4,31
2003,B,value4,23
2004,B,value4,32
2005,B,value4,17
2006,B,value4,21
2007,B,value4,86
2008,B,value4,2
2009,B,value4,61
2010,B,value4,9
2011,C,value4,19
2012,C,value4,34
2013,C,value4,39
2014,C,value4,15
2015,C,value4,43
2016,C,value4,40
2017,C,value4,35
2018,C,value4,48
2019,C,value4,20
2020,C,value4,12
2021,D,value4,46
