individual,group,observation,value
1991,A,value1,2721
1992,A,value1,1425
1993,A,value1,3625
1994,A,value1,4231
1995,A,value1,1804
1996,A,value1,2065
1997,A,value1,2535
1998,A,value1,4276
1999,A,value1,3026
2000,A,value1,3956
2001,B,value1,4049
2002,B,value1,3043
2003,B,value1,3884
2004,B,value1,4144
2005,B,value1,4451
2006,B,value1,3901
2007,B,value1,3516
2008,B,value1,2765
2009,B,value1,4688
2010,B,value1,4426
2011,C,value1,4270
2012,C,value1,3190
2013,C,value1,4398
2014,C,value1,3655
2015,C,value1,4380
2016,C,value1,5301
2017,C,value1,6631
2018,C,value1,5389
2019,C,value1,5866
2020,C,value1,4393
2021,D,value1,3427
1991,A,value2,716
1992,A,value2,467
1993,A,value2,495
1994,A,value2,1070
1995,A,value2,1011
1996,A,value2,1197
1997,A,value2,1527
1998,A,value2,910
1999,A,value2,775
2000,A,value2,941
2001,B,value2,1043
2002,B,value2,2096
2003,B,value2,1004
2004,B,value2,1630
2005,B,value2,1355
2006,B,value2,1996
2007,B,value2,1550
2008,B,value2,1594
2009,B,value2,2174
2010,B,value2,1017
2011,C,value2,1593
2012,C,value2,1514
2013,C,value2,2161
2014,C,value2,1981
2015,C,value2,2034
2016,C,value2,1530
2017,C,value2,1422
2018,C,value2,1250
2019,C,value2,2057
2020,C,value2,2089
2021,D,value2,827
1991,A,value3,899
1992,A,value3,432
1993,A,value3,552
1994,A,value3,568
1995,A,value3,610
1996,A,value3,704
1997,A,value3,845
1998,A,value3,1493
1999,A,value3,936
2000,A,value3,973
2001,B,value3,852
2002,B,value3,1004
2003,B,value3,639
2004,B,value3,1060
2005,B,value3,1108
2006,B,value3,1450
2007,B,value3,1298
2008,B,value3,838
2009,B,value3,965
2010,B,value3,1351
2011,C,value3,956
2012,C,value3,838
2013,C,value3,1335
2014,C,value3,1278
2015,C,value3,1103
2016,C,value3,2128
2017,C,value3,1015
2018,C,value3,2275
2019,C,value3,1657
2020,C,value3,1053
2021,D,value3,1008
1991,A,value4,55
1992,A,value4,27
1993,A,value4,6
1994,A,value4,25
1995,A,value4,300
1996,A,value4,18
1997,A,value4,79
1998,A,value4,0
1999,A,value4,8
2000,A,value4,0
2001,B,value4,11
2002,B,value4,51
2003,B,value4,17
2004,B,value4,51
2005,B,value4,20
2006,B,value4,12
2007,B,value4,99
2008,B,value4,0
2009,B,value4,92
2010,B,value4,9
2011,C,value4,20
2012,C,value4,40
2013,C,value4,55
2014,C,value4,21
2015,C,value4,41
2016,C,value4,58
2017,C,value4,36
2018,C,value4,65
2019,C,value4,21
2020,C,value4,17
2021,D,value4,61
