individual,group,observation,value
1989,A,value1,"1,080"
1989,A,value2,104
1989,A,value3,61
1989,A,value4,0
1990,A,value1,"1,644"
1990,A,value2,32
1990,A,value3,8
1990,A,value4,0
1991,B,value1,"1,715"
1991,B,value2,10
1991,B,value3,269
1991,B,value4,0
1992,B,value1,"2,111"
1992,B,value2,166
1992,B,value3,27
1992,B,value4,0
1993,B,value1,"1,214"
1993,B,value2,196
1993,B,value3,24
1993,B,value4,0
1994,B,value1,"2,592"
1994,B,value2,16
1994,B,value3,18
1994,B,value4,0
1995,B,value1,"1,735"
1995,B,value2,82
1995,B,value3,0
1995,B,value4,0
1996,B,value1,"1,035"
1996,B,value2,108
1996,B,value3,0
1996,B,value4,0
1997,B,value1,"1,292"
1997,B,value2,105
1997,B,value3,133
1997,B,value4,0
1998,B,value1,"1,906"
1998,B,value2,205
1998,B,value3,27
1998,B,value4,0
1999,B,value1,"1,008"
1999,B,value2,204
1999,B,value3,197
1999,B,value4,0
2000,B,value1,"1,446"
2000,B,value2,192
2000,B,value3,70
2000,B,value4,0
2001,C,value1,"1,629"
2001,C,value2,202
2001,C,value3,13
2001,C,value4,0
2002,C,value1,"1,722"
2002,C,value2,96
2002,C,value3,23
2002,C,value4,0
2003,C,value1,"4,809"
2003,C,value2,214
2003,C,value3,122
2003,C,value4,0
2004,C,value1,"1,414"
2004,C,value2,69
2004,C,value3,246
2004,C,value4,0
2005,C,value1,"1,575"
2005,C,value2,334
2005,C,value3,220
2005,C,value4,0
2006,C,value1,"2,710"
2006,C,value2,34
2006,C,value3,213
2006,C,value4,0
2007,C,value1,"1,323"
2007,C,value2,468
2007,C,value3,35
2007,C,value4,0
2008,C,value1,"1,525"
2008,C,value2,168
2008,C,value3,60
2008,C,value4,0
2009,C,value1,"1,587"
2009,C,value2,280
2009,C,value3,104
2009,C,value4,0
2010,C,value1,"1,851"
2010,C,value2,96
2010,C,value3,7
2010,C,value4,0
2011,D,value1,"1,507"
2011,D,value2,283
2011,D,value3,194
2011,D,value4,0
2012,D,value1,"1,617"
2012,D,value2,217
2012,D,value3,71
2012,D,value4,0
2013,D,value1,"2,360"
2013,D,value2,31
2013,D,value3,174
2013,D,value4,0
2014,D,value1,"1,197"
2014,D,value2,67
2014,D,value3,83
2014,D,value4,0
2015,D,value1,"3,711"
2015,D,value2,93
2015,D,value3,22
2015,D,value4,0
2016,D,value1,"1,864"
2016,D,value2,73
2016,D,value3,336
2016,D,value4,0
2017,D,value1,"2,750"
2017,D,value2,365
2017,D,value3,17
2017,D,value4,0
2018,D,value1,"3,423"
2018,D,value2,372
2018,D,value3,314
2018,D,value4,0
2019,D,value1,"2,871"
2019,D,value2,16
2019,D,value3,125
2019,D,value4,0
2020,D,value1,"2,272"
2020,D,value2,105
2020,D,value3,303
2020,D,value4,0
