individual,group,observation,value
1991,A,value1,2029
1992,A,value1,2373
1993,A,value1,1291
1994,A,value1,3231
1995,A,value1,2160
1996,A,value1,1367
1997,A,value1,1816
1998,A,value1,2554
1999,A,value1,1409
2000,A,value1,2105
2001,B,value1,2350
2002,B,value1,2342
2003,B,value1,6402
2004,B,value1,1938
2005,B,value1,2275
2006,B,value1,3620
2007,B,value1,1799
2008,B,value1,2167
2009,B,value1,2427
2010,B,value1,2683
2011,C,value1,2057
2012,C,value1,2384
2013,C,value1,3201
2014,C,value1,1708
2015,C,value1,5037
2016,C,value1,2588
2017,C,value1,3667
2018,C,value1,4424
2019,C,value1,4421
2020,C,value1,3294
1991,A,value2,17
1992,A,value2,239
1993,A,value2,252
1994,A,value2,30
1995,A,value2,131
1996,A,value2,148
1997,A,value2,171
1998,A,value2,345
1999,A,value2,311
2000,A,value2,310
2001,B,value2,333
2002,B,value2,153
2003,B,value2,326
2004,B,value2,127
2005,B,value2,486
2006,B,value2,56
2007,B,value2,625
2008,B,value2,249
2009,B,value2,435
2010,B,value2,154
2011,C,value2,434
2012,C,value2,290
2013,C,value2,59
2014,C,value2,94
2015,C,value2,182
2016,C,value2,125
2017,C,value2,536
2018,C,value2,548
2019,C,value2,44
2020,C,value2,282
1991,A,value3,305
1992,A,value3,42
1993,A,value3,42
1994,A,value3,28
1995,A,value3,1
1996,A,value3,0
1997,A,value3,202
1998,A,value3,46
1999,A,value3,300
2000,A,value3,124
2001,B,value3,22
2002,B,value3,40
2003,B,value3,182
2004,B,value3,351
2005,B,value3,324
2006,B,value3,357
2007,B,value3,65
2008,B,value3,104
2009,B,value3,152
2010,B,value3,35
2011,C,value3,296
2012,C,value3,106
2013,C,value3,230
2014,C,value3,145
2015,C,value3,30
2016,C,value3,460
2017,C,value3,27
2018,C,value3,416
2019,C,value3,208
2020,C,value3,453
1991,A,value4,0
1992,A,value4,0
1993,A,value4,0
1994,A,value4,0
1995,A,value4,0
1996,A,value4,0
1997,A,value4,0
1998,A,value4,0
1999,A,value4,0
2000,A,value4,0
2001,B,value4,0
2002,B,value4,0
2003,B,value4,0
2004,B,value4,0
2005,B,value4,0
2006,B,value4,0
2007,B,value4,0
2008,B,value4,0
2009,B,value4,0
2010,B,value4,0
2011,C,value4,0
2012,C,value4,0
2013,C,value4,0
2014,C,value4,0
2015,C,value4,0
2016,C,value4,0
2017,C,value4,0
2018,C,value4,0
2019,C,value4,0
2020,C,value4,0
